name,stl_filepath,inner_mat,outer_mat,surface,color,displacement x,displacement y,displacement z,solid_type,killing surface

sipm,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - FBKSiPMAssem-1 Sipm556X596-1.STL,silicon,liquid xenon,FBK HD3,black,0,0,0,pmt,False

source,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - sourceflippedassem-1 sourcepart3-2.STL,steel,liquid xenon,None,red,0,0,0,none,False

silica window,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - silicawindow-1 SilicaWindow-1.STL,silica,liquid xenon,None,cyan,0,0,0,solid,False

silica gasket 1,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - silicawindow-1 SilicaGasket.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

silica gasket 2,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - silicawindow-1 SilicaGasket.step-2.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

copper plate 1,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - SiPM-Disk-1.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

copper plate 2,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - SiPM-Disk-2.step-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

copper washer,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - WasherReplacement-1.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

reflectorholder1,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - 2023_5_26 ReflectorHolderAssemTall-1 2023_5_23_SilicaGasketCut-3.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

reflectorholder2,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - 2023_5_26 ReflectorHolderAssemTall-1 2023_5_23_SilicaGasketCut-4.STL,copper,liquid xenon,Cu-Xe,orange,0,0,0,solid,True

reflector13,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - 2023_5_26 ReflectorHolderAssemTall-1 reflector-13.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False

reflector14,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - 2023_5_26 ReflectorHolderAssemTall-1 reflector-14.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False

reflector15,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - 2023_5_26 ReflectorHolderAssemTall-1 reflector-15.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False

reflector16,/workspace/data_files/stl_files/All_Components_7.9.2024/Geometry for Daksh - 2023_5_26 ReflectorHolderAssemTall-1 reflector-16.STL,silicon,liquid xenon,silicon-Xe,grey,0,0,0,solid,False




